GeneID	log2(FC)
FBgn0026562	-2.38258550933706
FBgn0039155	-4.07673915276776
FBgn0003360	-2.99541328088802
FBgn0025111	2.68042910186253
FBgn0029167	-2.11127790702353
FBgn0039827	-3.37077872357191
FBgn0035085	-2.41866196068958
FBgn0264475	-2.31430541289206
FBgn0034736	-2.92764639514529
FBgn0000071	2.33703761146098
FBgn0029896	-2.17487750673568
FBgn0038832	-2.28368100872467
FBgn0027279	-1.16271501714925
FBgn0035189	2.35980894625701
FBgn0001226	1.55762778375602
FBgn0040091	-1.46340236259314
FBgn0040099	-1.63621388914341
FBgn0023479	-1.43342729235705
FBgn0264753	-2.43100722146999
FBgn0011260	1.93658319418582
FBgn0039419	-1.11686537542232
FBgn0262733	1.82609456121458
FBgn0261552	-1.61727212684718
FBgn0033913	-1.12623467697919
FBgn0037754	-1.96113623876869
FBgn0085359	-2.60558405714624
FBgn0024288	-2.5514662797442
FBgn0031150	1.18392475036006
FBgn0052407	-1.80918611035854
FBgn0051092	1.88859279306863
FBgn0051363	0.927172275287599
FBgn0034010	-1.33217833219648
FBgn0283658	-1.08367910306833
FBgn0035147	-1.11825963804948
FBgn0264437	2.09104111932299
FBgn0261673	2.2470554515583
FBgn0003748	1.03749271046411
FBgn0001224	1.34217000564024
FBgn0040827	-1.65967510444639
FBgn0037468	0.909546840372253
FBgn0261596	-1.04358662047336
FBgn0283437	1.36807114883894
FBgn0037290	2.12237979566498
FBgn0016715	-1.83167310265055
FBgn0039109	-1.24228084459962
FBgn0063649	-1.14431181109608
FBgn0050147	-0.93895982156248
FBgn0038149	1.00595741820942
FBgn0032405	1.87437640521904
FBgn0053307	-1.29011220936233
FBgn0260011	1.81583266242326
FBgn0001137	-1.25242196670647
FBgn0259715	-1.54813757071287
FBgn0003137	0.864673912895088
FBgn0261584	-1.70329563718998
FBgn0001225	1.20994275847355
FBgn0031322	-1.30853897750075
FBgn0024315	-1.78566025784969
FBgn0039464	0.993502112605481
FBgn0040271	0.908968038447822
FBgn0051523	-0.754901762570457
FBgn0033367	1.25373226570063
FBgn0002868	-1.66092913093461
FBgn0000406	-1.64804400409012
FBgn0039257	-1.01809903883214
FBgn0036985	-1.20366613185598
FBgn0261800	-0.727411021040989
FBgn0265276	1.53520578044312
FBgn0001258	0.857386051900146
FBgn0030237	-0.895737281024274
FBgn0262057	-0.933892592321338
FBgn0031449	-0.842199833348397
FBgn0063498	-1.22029709133293
FBgn0032004	-1.0796235132043
FBgn0267992	-1.51526386501954
FBgn0033635	1.07742629176009
FBgn0031327	1.10540627200651
FBgn0051642	1.55660171255802
FBgn0030041	-1.80867124493032
FBgn0037239	-0.862554076465502
FBgn0039479	1.29487694825952
FBgn0051038	-0.915195282979062
FBgn0263232	1.16272451577371
FBgn0037153	1.43571983301967
FBgn0031805	-0.869189655140462
FBgn0024491	0.974294812707128
FBgn0034885	1.33897671579947
FBgn0052521	-0.809010228079372
FBgn0034389	-1.53727060248354
FBgn0000116	1.06963000707723
FBgn0027580	-0.872643954643673
FBgn0051195	0.767548375756962
FBgn0032598	0.9978697285246
FBgn0051337	-0.937334558972194
FBgn0050069	-0.836193128643253
FBgn0013763	-0.665293598413416
FBgn0034638	-0.861714482731847
FBgn0261560	-0.844429286524634
FBgn0023549	-1.27280363001717
FBgn0040398	-0.784542527630502
FBgn0036299	0.825387051310425
FBgn0036373	-0.957549548052302
FBgn0004369	-0.801622671585555
FBgn0036684	-0.797585881481341
FBgn0040388	-0.930534326379192
FBgn0051431	-0.697371086725598
FBgn0022160	-0.877844063932824
FBgn0261284	1.55027915099058
FBgn0035968	0.988562177592071
FBgn0052625	1.28951068200144
FBgn0038528	1.19955485164109
FBgn0037683	-0.818573780629776
FBgn0030805	0.902340348151118
FBgn0031359	-0.811311655076559
FBgn0050463	1.58320078429039
FBgn0028514	-0.917614582190559
FBgn0004396	0.998789668591613
FBgn0053516	-0.803328014697514
FBgn0000567	-1.08652845519945
FBgn0034438	1.40502198839188
FBgn0038198	1.52384478993872
FBgn0005593	-0.652797576528548
FBgn0032956	0.610229401379083
FBgn0003502	0.681985460644058
FBgn0031374	-0.758961142827245
FBgn0039714	-0.644131196376606
FBgn0043364	-1.00802550078096
FBgn0033426	-0.924032893253148
FBgn0028990	-0.719333832225173
FBgn0027515	0.823285042589732
FBgn0004893	-0.807800416132651
FBgn0037646	-1.55347358547224
FBgn0034718	1.14232820519413
FBgn0086365	-0.555106453711758
FBgn0028327	0.59832768390508
FBgn0261238	0.695647185363626
FBgn0031703	-1.38802109818634
FBgn0038476	0.653477971058508
FBgn0086450	-0.550942288173064
FBgn0015371	-0.922084313993853
FBgn0003076	0.65333411102844
FBgn0259749	-0.665603193152097
FBgn0033065	1.55540099305832
FBgn0039113	0.815700403158723
FBgn0029801	-0.758164533189747
FBgn0043841	-0.652504939611892
FBgn0024984	1.16854208076634
FBgn0037680	0.793888527782315
FBgn0266064	0.555426554362715
FBgn0001124	0.60456240351036
FBgn0040752	-0.800519566006185
FBgn0028542	-0.933719192010796
FBgn0038805	0.698221104104523
FBgn0004507	0.82128551070812
FBgn0036824	-0.608765799300761
FBgn0035150	0.543836810616862
FBgn0028473	-0.562633414035124
FBgn0036663	-0.66346608617018
FBgn0044047	-0.753231201180456
FBgn0031547	-1.17437542983912
FBgn0004108	0.757830054609616
FBgn0259740	0.768442760459539
FBgn0013811	-0.837247757849335
FBgn0011274	-0.686253887206104
FBgn0063492	0.728316096787817
FBgn0031313	-0.669150619877973
FBgn0286071	0.750292874916582
FBgn0052412	-0.630837959969422
FBgn0267635	1.04541428429682
FBgn0033775	1.38565991311202
FBgn0031307	0.709305518465409
FBgn0250867	0.771937500789226
FBgn0030529	-0.538649368343004
FBgn0038865	-0.9139131061162
FBgn0005640	0.624008827284679
FBgn0011722	-0.597169759219258
FBgn0263873	-0.870945892967889
FBgn0027594	-0.55539632298662
FBgn0030037	0.652360020648564
FBgn0025678	0.497151394560314
FBgn0039809	-0.822365011410075
FBgn0033724	1.14788215540971
FBgn0260745	-0.570931085740709
FBgn0013272	-0.477820479384546
FBgn0026376	-0.885299224439236
FBgn0035344	-1.23402836596039
FBgn0267252	-1.13177392172234
FBgn0262620	0.959471315172532
FBgn0038877	-0.639352315981144
FBgn0261808	-0.796809563145895
FBgn0027949	0.600440222733204
FBgn0026721	-0.698498285107327
FBgn0032638	-1.15002530639613
FBgn0010591	-0.648630556275273
FBgn0020257	-0.634945577295914
FBgn0086355	0.635030335580664
FBgn0266005	-0.841102326924147
FBgn0034354	0.83700739510986
FBgn0031258	-1.08186861046966
FBgn0000299	0.570407327620704
FBgn0035761	0.682085875458204
FBgn0033782	-1.09182366833751
FBgn0037635	-0.907175005872013
FBgn0031689	0.862419752930652
FBgn0036007	0.70451040952668
FBgn0267488	0.603158379046303
FBgn0032029	-0.836216604084846
FBgn0039640	-1.24112423689585
FBgn0027091	-0.622575375173059
FBgn0035266	0.873386406125466
FBgn0031913	-0.716824306119607
FBgn0035727	1.20871123275455
FBgn0035232	-0.554480217744764
FBgn0039098	-0.888104929342952
FBgn0032036	-0.557584903342793
FBgn0030598	1.3379952798063
FBgn0001122	0.683572836438032
FBgn0003074	0.581000001714132
FBgn0031117	0.83453685015396
FBgn0036896	-0.778462211770621
FBgn0039613	-0.54260566027782
FBgn0259821	0.923982911838413
FBgn0032859	-0.489988435641129
FBgn0039886	-0.623364679437539
FBgn0005660	0.866642441280232
FBgn0263041	-1.20128813132357
FBgn0266873	0.592173760353753
FBgn0039776	-0.510860575476225
FBgn0001091	0.617834975103191
FBgn0262579	-0.567991367771
FBgn0034400	-0.528555762696521
FBgn0010225	-0.48859879082005
FBgn0030349	-0.5697739117324
FBgn0038660	-0.517420670744238
FBgn0033504	-0.671164107661346
FBgn0031516	0.667560209840014
FBgn0015568	0.892388793085825
FBgn0259224	0.956054716722501
FBgn0041629	0.518894501611521
FBgn0032775	-0.716957645706842
FBgn0027348	-0.900874614651725
FBgn0037739	0.732990567323709
FBgn0045852	-0.620679432100219
FBgn0285963	0.515472069810633
FBgn0020248	1.2658206419455
FBgn0029095	-0.489484624201749
FBgn0259111	0.574483717433438
FBgn0013680	1.2740268412129
FBgn0010470	0.453700263053096
FBgn0000079	-1.00041327575238
FBgn0027596	-0.769654640424628
FBgn0001114	-0.536941113200804
FBgn0086906	0.676307248786039
FBgn0013688	1.24412881378879
FBgn0033188	-0.533864547494654
FBgn0041342	-0.545023783013442
FBgn0039637	-0.508101386821233
FBgn0013576	-0.472906052617041
FBgn0261602	-0.606245686514486
FBgn0036732	-0.550288340556944
FBgn0034391	1.1160812109726
FBgn0003447	1.21763957811787
FBgn0264693	-0.532399090440472
FBgn0052681	-0.888200605345815
FBgn0038381	-0.926638880126407
FBgn0266452	-0.631153189276972
FBgn0039593	1.18715006930394
FBgn0261278	0.494029597042445
FBti0062912	0.910085315457244
FBgn0031548	-1.16789474526131
FBgn0260486	-0.590456081978572
FBgn0031285	-0.4671649538275
FBgn0031055	-0.572218351025003
FBgn0260933	0.556354427408951
FBgn0030326	-0.972945432972975
FBgn0013765	0.459531223537854
FBgn0267824	-0.508558621393454
FBgn0014869	0.524500501273357
